id,model,mediator,covariate,target,response,collider,causal,cmst,weight
G1,t.d_m.t,,,4,,,4,2,1
G2,m.d_t.m,4,,,,,1,1,1
G3,t.d_m.d,1,,1,,,,4,1
G4,t.md_m.d,3,,3,,3,3,3,1
G5,t.d_m,,4,2,,,,,1
G6,m.d_t,2,,,4,,,,1
G7,t.md_m,,3,,,4,,,1
G8,m.td_t,,,,3,1,,,1
G9,t.m_m,,1,,1,2,2,,1
G10,t_m,,2,,2,,,,1
